Config file: int value for RUNS_COUNT not found!
Application started: 00:38:31 2020/12/24
Initializing the simulation..
Activating generators...
Running the simulation, please wait.
Added patient to queue, patient: 1
Added patient to queue, patient: 2
Added patient to queue, patient: 3
Added patient to queue, patient: 4
Added patient to queue, patient: 5
Added patient to queue, patient: 6
Trying to move to intensive care unit..., patient: 1
Trying to move to intensive care unit..., patient: 6
DailyProbability time: 1.0
Patient moved to intensive care unit successfully, patient: 1
Patient moved to intensive care unit successfully, patient: 6
Added patient to queue, patient: 7
Added patient to queue, patient: 8
Added patient to queue, patient: 9
Trying to move to intensive care unit..., patient: 2
Trying to move to intensive care unit..., patient: 4
Trying to move to intensive care unit..., patient: 9
DailyProbability time: 2.0
Patient moved to intensive care unit successfully, patient: 2
Patient moved to intensive care unit successfully, patient: 4
Patient moved to intensive care unit successfully, patient: 9
Added patient to queue, patient: 10
Added patient to queue, patient: 11
Added patient to queue, patient: 12
Added patient to queue, patient: 13
Trying to move to intensive care unit..., patient: 7
Trying to move to intensive care unit..., patient: 10
Trying to move to intensive care unit..., patient: 12
DailyProbability time: 3.0
Patient died in basic care... (no free bed in intensive care unit), patient: 7
Patient died in basic care... (no free bed in intensive care unit), patient: 10
Patient died in basic care... (no free bed in intensive care unit), patient: 12
Added patient to queue, patient: 14
Added patient to queue, patient: 15
Added patient to queue, patient: 16
Trying to move to basic care unit..., patient: 2
Patient moved back to basic care, patient: 2
Added patient to queue, patient: 17
Added patient to queue, patient: 18
DailyProbability time: 4.0
Added patient to queue, patient: 19
Added patient to queue, patient: 20
Trying to move to basic care unit..., patient: 1
Added patient to queue, patient: 21
Added patient to queue, patient: 22
Added patient to queue, patient: 23
Trying to move to basic care unit..., patient: 6
Added patient to queue, patient: 24
Trying to move to intensive care unit..., patient: 15
Trying to move to intensive care unit..., patient: 11
Trying to move to intensive care unit..., patient: 16
DailyProbability time: 5.0
Patient moved to intensive care unit successfully, patient: 15
Patient moved back to basic care, patient: 1
Patient died in basic care... (no free bed in intensive care unit), patient: 11
Patient moved back to basic care, patient: 6
Patient died in basic care... (no free bed in intensive care unit), patient: 16
Added patient to queue, patient: 25
Added patient to queue, patient: 26
Trying to move to basic care unit..., patient: 4
DailyProbability time: 6.0
Patient is healthy, patient: 3
Patient moved back to basic care, patient: 4
Added patient to queue, patient: 27
Patient is healthy, patient: 5
Patient died in queue, patient: 19
Patient died in queue, patient: 20
Added patient to queue, patient: 28
Trying to move to basic care unit..., patient: 9
Trying to move to intensive care unit..., patient: 21
DailyProbability time: 7.0
Patient moved to intensive care unit successfully, patient: 21
Patient moved back to basic care, patient: 9
Added patient to queue, patient: 29
Added patient to queue, patient: 30
Trying to move to basic care unit..., patient: 21
Added patient to queue, patient: 31
Added patient to queue, patient: 32
Added patient to queue, patient: 33
